"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Necroptosis","TRAF2","TNF receptor associated factor 2","ENSG00000127191.18","protein_coding",25882049,"TRAF2 inhibits Necroptosis by modulating the signaling complex containing receptor-interacting protein kinases RIPK1 and RIPK3 (the necrosome) and mixed lineage kinase-domain-like (MLKL), which drive the pro-inflammatory and membrane-disrupting activity of Necroptosis."
"Necroptosis","PPIA","peptidylprolyl isomerase A","ENSG00000196262.15","protein_coding",36038617,"PPIA can trigger mitochondrial superoxide overproduction, promoting chromatinolysis by causing nuclear translocation of AIF and intensifying the formation of ¦Ã-H2AX. PPIA in the nucleus can also form DNA degradation complexes with AIF and ¦Ã-H2AX, promoting the execution of chromatinolysis."
"Necroptosis","CAPN2","calpain 2","ENSG00000162909.18","protein_coding",35783277,"CAPN2 participates in the occurrence and development of multiple tumors by regulating mechanisms such as cell apoptosis and transcription modification. The role of CAPN2 in Necroptosis has not been studied in depth, CAPN2 may participate in the signal transduction process of Necroptosis. In summary, CAPN2 may be related to the occurrence of Necroptosis and tumors, the specific mechanism of action needs further study."
"Necroptosis","HSP90AA1","heat shock protein 90 alpha family class A member 1","ENSG00000080824.19","protein_coding",35864548,"HSP90AA1 is a regulatory factor in Necroptosis, and together with other Necroptosis-related genes, it is used to establish a Necroptosis-related gene signature to evaluate the prognosis of breast cancer (BC) patients and identify those who would benefit from immunotherapy."
"Necroptosis","IL1A","interleukin 1 alpha","ENSG00000115008.6","protein_coding",24790078,"Apoptosis and death programs regulate the processing and release of IL-1. Apoptosis induces caspase-8-dependent release of IL-1¦Á, while Necroptosis induces calpain-dependent release of IL-1¦Â. These findings reveal the close relationship between cell death and inflammation and provide the possibility for more targeted treatment of inflammatory diseases, which may offer new ideas for disease treatment methods."
"Necroptosis","FASLG","Fas ligand","ENSG00000117560.8","protein_coding",35013338,"The FAS-FASLG pathway plays a crucial role in CTL-induced cell death in myotubes, which is achieved through the Necroptosis pathway."
"Necroptosis","FAS","Fas cell surface death receptor","ENSG00000026103.25","protein_coding",21989986,"FAS, in combination with TNF, can induce necroptosis, a RIP-1-dependent programmed cell death."
"Necroptosis","CASP8","caspase 8","ENSG00000064012.24","protein_coding",36191211,"CASP8 and FADD suppress spontaneous necroptotic cell death via a positive feedback mechanism involving nucleic acid sensors and TBK1 signaling pathways. The absence of CASP8 or FADD leads to spontaneous activation of the nucleic acid sensor, ZBP1, resulting in activation of RIPK3, phosphorylation of MLKL, and necroptosis."
"Necroptosis","MAPK8","mitogen-activated protein kinase 8","ENSG00000107643.17","protein_coding",31706322,"After Necroptosis was activated through the RIP1/RIP3/MLKL pathway, MLKL could promote the phosphorylation of JNK1/2 and subsequently stimulate the production of IL-8 (CXCL8). Through chemical inhibitors or shRNA silencing of relevant proteins and genes, the article demonstrated that Necroptosis had a growth-promoting effect on surviving tumor cells and promoted tumor regeneration through the JNK/IL-8/IL-8 receptor pathway."
"Necroptosis","JAK2","Janus kinase 2","ENSG00000096968.14","protein_coding",31729527,"The release of CCL2 is necroptosis-dependent. CCL2 released by TAA can activate the Notch signaling pathway through the JAK2/STAT3 pathway, which directly maintains the stemness of MBSCs."
"Necroptosis","CAMK2A","calcium/calmodulin dependent protein kinase II alpha","ENSG00000070808.17","protein_coding",30148677,"CAMK2A is activated in tGCI-induced neuronal death, which promotes the formation of necrosomes and ultimately leads to necroptotic cell death."
"Necroptosis","IL1B","interleukin 1 beta","ENSG00000125538.12","protein_coding",33941231,"IL-1B plays a role in Necroptosis by inducing the bystander effect and T cell anti-tumor immune response. When tumor cells undergo Necroptosis, large amounts of high mobility group box 1 protein (HMGB1) and ATP are released, triggering the anti-tumor immune response of immune cells."
"Necroptosis","IFNG","interferon gamma","ENSG00000111537.5","protein_coding",31076724,"The induction of necroptosis by IFN-¦Ã and IFN-¦Â requires the mediation of ZBP1. The gene expression of ZBP1 induced by IFN is essential for the occurrence of necroptosis. Different domains of ZBP1 are involved in its action in necroptosis."
"Necroptosis","STAT3","signal transducer and activator of transcription 3","ENSG00000168610.16","protein_coding",32554751,"_utocrine IL6-mediated activation of the STAT3-DNMT axis silences the TNFa-RIP1 Necroptosis pathway, promoting MDSC survival and accumulation. STAT3, by regulating the activity of DNA methyltransferase, inactivates TNFa-induced Necroptosis, thus promoting MDSC survival and accumulation."
"Necroptosis","IRF9","interferon regulatory factor 9","ENSG00000213928.10","protein_coding",25049377,"IRF9 is very important in LPS, IFN-¦Â, and TNF-¦Á induced Necroptosis. Unlike IRF1, IRF3, and IRF7, IRF9 plays a special role in inducing necrotic cell death."
"Necroptosis","TNFSF10","TNF superfamily member 10","ENSG00000121858.11","protein_coding",28258062,"The linear ubiquitin chain assembly complex (LUBAC) inhibits cell death by preventing necroptosis while limiting caspase-8 activity and subsequent apoptosis."
"Necroptosis","TNFRSF10A","TNF receptor superfamily member 10a","ENSG00000104689.10","protein_coding",30987996,"Mutant DR4-Ser424 cannot trigger necrosis or apoptosis, and cannot form active necroptotic effector molecule . Therefore, DR4-Ser424 is both a key residue for triggering TRAIL-mediated apoptosis and mediating necrosis."
"Necroptosis","TNFRSF10B","TNF receptor superfamily member 10b","ENSG00000120889.13","protein_coding",32917855,"Depletion of MLKL enhances TRAIL-induced cell death, and MLKL is one of the essential molecules of necroptosis. TRAIL (TNF-related apoptosis-inducing ligand) binds to the cell surface via TNFRSF10B, which may promote necroptosis via the apoptotic pathway."
"Necroptosis","CFLAR","CASP8 and FADD like apoptosis regulator","ENSG00000003402.21","protein_coding",23392074,"Necroptosis is a type of cell death that occurs when apoptosis is blocked, and excessive autophagy may lead to cell death or provide cytoprotection. CFLARL is involved in primary T cell autophagy regulation and plays a cytoprotective role. "
"Necroptosis","XIAP","X-linked inhibitor of apoptosis","ENSG00000101966.14","protein_coding",27735938,"XIAP regulates the viability of neutrophils during LPS activation, playing a role in inhibiting Necroptosis in neutrophils when another member of the IAP family, cIAP1 / -2, is inhibited."
"Necroptosis","BID","BH3 interacting domain death agonist","ENSG00000015475.19","protein_coding",21738214,"Treatment with MNNG causes hyperactivity of PARP-1, leading to activation of calpain. Calpain generates the cleaved form of BID (tBID), which redistributes from the cytosol to mitochondria, and regulates the activation of BAX."
"Necroptosis","AIFM1","apoptosis inducing factor mitochondria associated 1","ENSG00000156709.15","protein_coding",21738214,"AIFM1 mediates a newly defined form of programmed cell death called necroptosis, which is TNF-associated and caspase-independent. AIFM1 is released into the nucleus during necroptosis and promotes chromatinolysis and cell death by associating with histone H2AX and CypA. Therefore, AIFM1 is closely related to necroptosis."
"Necroptosis","TRPM7","transient receptor potential cation channel subfamily M member 7","ENSG00000092439.16","protein_coding",24316671,"TRPM7 is a downstream component of necroptosis, mediating the influx of calcium ions and TNF-induced cell death."
"Necroptosis","IFNAR1","interferon alpha and beta receptor subunit 1","ENSG00000142166.15","protein_coding",25049377,"IRF9 is very important in LPS, IFN-¦Â, and TNF-¦Á induced Necroptosis. Unlike IRF1, IRF3, and IRF7, IRF9 plays a special role in inducing necrotic cell death."
"Necroptosis","TLR3","toll like receptor 3","ENSG00000164342.14","protein_coding",25898986,"TLR3 is related to Necroptosis in this research article because the experiment found that CT26 cells, which have RNA sensors TLR3 and MDA5, are highly sensitive to Necroptosis and are linked to RIP1/3 activation via TICAM-1 or MAVS adaptor."
"Necroptosis","IFNA1","interferon alpha 1","ENSG00000197919.6","protein_coding",35111740,"_FNA1 is involved in the regulation of necroptosis and can affect tumor development and progression.Inhibition of IFNA1 can accelerate the occurrence of necroptosis."
"Necroptosis","IFNB1","interferon beta 1","ENSG00000171855.7","protein_coding",23601685,"The relationship between IFNB1 and Necroptosis is that Poly IC stimulation of dendritic cells (DCs) induces Necroptosis through the signaling pathway mediated by IPS-1 and RIP-1, while also promoting the production of IFNB1."
"Necroptosis","TICAM1","TIR domain containing adaptor molecule 1","ENSG00000127666.11","protein_coding",25493335,"TICAM1 promotes the signal transduction of necroptosis by forming a cytosolic complex with RIPK1, RIPK3, and MLKL . TICAM1 can also mediate necroptosis response induced by Toll-like receptor 3 and 4 (TLR3 and TLR4) . TICAM1 plays an important role in the regulation and signal transduction of necroptosis."
"Necroptosis","VDAC1","voltage dependent anion channel 1","ENSG00000213585.11","protein_coding",36690044,"The oligomerization of VDAC1 leads to the opening and enlargement of mitochondrial membrane pores, resulting in the release of death-related factors in mitochondria and induction of apoptosis and necroptosis. The inhibitor of VDAC1 oligomerization can improve mitochondrial function and reduce cell apoptosis and necroptosis in R28 cells."
"Necroptosis","PPID","peptidylprolyl isomerase D","ENSG00000171497.5","protein_coding",29770487,"The mechanism of how CypD is related to Necroptosis provides a unique role in the host immune defense against Mtb infections. In the process of TNF-induced necroptosis, CypD and the resulting ceramide interact through the mitochondrial-mediated pathway, while in other forms of necroptosis, it is not a core component of the machinery."
"Necroptosis","CYLD","CYLD lysine 63 deubiquitinase","ENSG00000083799.18","protein_coding",28362430,"CYLD inhibits apoptosis by promoting NF-¦ÊB activation and NF-¦ÊB-dependent expression of prosurvival genes. it is a necessary mediator of programmed cell death known as Necroptosis, a caspase-independent form of programmed cell death that depends on RIPK1 and RIPK3 kinases.CYLD also plays an important role in Necroptosis, including promoting Necroptosis in response to stimulation of several TLRs."
"Necroptosis","RIPK3","receptor interacting serine/threonine kinase 3","ENSG00000129465.16","protein_coding",28306512,"RIPK3 is associated with Necroptosis. Necroptosis typically results from TNF, Fas, or LPS-induced activation of RIPK3 kinase, which is essentially the only regulator for Necroptosis."
"Necroptosis","MLKL","mixed lineage kinase domain like pseudokinase","ENSG00000168404.13","protein_coding",27999438,"Necroptosis is a novel cell death pathway regulated by receptor-interacting serine/threonine protein kinase 1 (RIPK1), related kinase RIPK3, and substrate mixed-lineage kinase domain-like protein (MLKL)."
"Necroptosis","TRAF5","TNF receptor associated factor 5","ENSG00000082512.15","protein_coding",33555197,"METTL3 enabled OX resistance in CRC cells by inhibiting TRAF5-mediated Necroptosis."
"Necroptosis","TLR4","toll like receptor 4","ENSG00000136869.16","protein_coding",28885615,"Necroptosis in microglia triggers neuroinflammation and exacerbates retinal neural damage and degeneration through the activation of TLR4."
"Necroptosis","RBCK1","RANBP2-type and C3HC4-type zinc finger containing 1","ENSG00000125826.22","protein_coding",36248876,"RBCK1 is highly expressed in ccRCC and regulates the immune suppressive microenvironment of tumors. In addition, RBCK1 can also promote chemoresistance and stemness in colorectal cancer."
"Necroptosis","HMGB1","high mobility group box 1","ENSG00000189403.15","protein_coding",30341423,"HMGB1 is a key factor for immunogenic anti-cancer responses in Necroptosis-induced DAMPs release in some cancer cell types. However, the role of HMGB1 in Necroptosis-induced inflammatory responses is unclear for other pathological conditions."
"Necroptosis","JAK1","Janus kinase 1","ENSG00000162434.14","protein_coding",36329033,"JAK1 inhibitors could promote TNF-induced necrosis and apoptosis, indicating the critical role of JAK1 in regulating cell death signaling pathways."
"Necroptosis","TYK2","tyrosine kinase 2","ENSG00000105397.15","protein_coding",36685937,"The absence of TYK2 can lead to excessive-induced Necroptosis and Pyroptosis by the pathogen which affects the function of organs such as the liver and myocardium."
"Necroptosis","STAT1","signal transducer and activator of transcription 1","ENSG00000115415.21","protein_coding",21576359,"Using RNA interference, Jak1 and STAT1 in the non-classical Jak/STAT signaling pathway were key factors in IFN-¦Á-induced Necroptosis, and the cells without STAT1 only partially prevented the induction of IFN-¦Á."
"Necroptosis","STAT2","signal transducer and activator of transcription 2","ENSG00000170581.15","protein_coding",25049377,"Macrophages lacking STAT2 are highly resistant to Necroptosis induced by multiple Necroptosis inducers."
"Necroptosis","STAT4","signal transducer and activator of transcription 4","ENSG00000138378.19","protein_coding",36518671,"The STAT4 gene is mentioned to be related to Necroptosis. STAT4 deficiency has a protective effect against neointima formation following arterial injury in mice and is also involved in the development of cardiovascular diseases by regulating the differentiation and activation of Th1 cells."
"Necroptosis","TNFAIP3","TNF alpha induced protein 3","ENSG00000118503.17","protein_coding",25939025,"TNFAIP3 acts as an important negative regulator, and can inhibit Rip3 activation and reduce the occurrence of necroptosis."
"Necroptosis","RNF31","ring finger protein 31","ENSG00000092098.18","protein_coding",29728512,"RNF31, also known as HOIP, is associated with necroptosis. It is a key enzyme in the ribonuclease polymerase-induced cell death pathway."
"Necroptosis","CHMP2A","charged multivesicular body protein 2A","ENSG00000130724.10","protein_coding",35977488,"CHMP2A plays an important role in intracellular membrane repair and antigen cross-presentation."
"Necroptosis","CHMP4A","charged multivesicular body protein 4A","ENSG00000254505.11","protein_coding",37168851,"In children with ASD, the expression level of CHMP4A was significantly lower than that in non-ASD normal subjects. In addition, the correlation patterns between CHMP4A and other NRGs such as CHMP4B and RNF31 in the NRGs integration analysis were also meaningful."
"Necroptosis","CHMP4B","charged multivesicular body protein 4B","ENSG00000101421.4","protein_coding",32585748,"Microglia undergo Necroptosis after traumatic brain injury (TBI), and promoting CHMP4B expression can decrease levels of Necroptosis in microglia thereby leading to improved neurological function recovery and protection against cell death following TBI."
"Necroptosis","CHMP6","charged multivesicular body protein 6","ENSG00000176108.9","protein_coding",36330465,"CHMP6 is a component of the ESCRT-III machinery and can be recruited to damaged lysosomes. It is involved in ESCRT-III- and VPS4-induced macroautophagy and is recruited to damaged lysosomes and precedes lysophagy. Additionally, CHMP6 is also involved in delaying various types of regulated cell death, including ferroptosis and necroptosis, by shortening the cell life cycle of malignant tumor cells."
"Necroptosis","VPS4A","vacuolar protein sorting 4 homolog A","ENSG00000132612.16","protein_coding",36330465,"VPS4A plays an important role in Necroptosis by participating in ESCRT-III-induced macroautophagy, repairing damaged lysosomes, and maintaining intracellular calcium levels."
"Necroptosis","CHMP1A","charged multivesicular body protein 1A","ENSG00000131165.16","protein_coding",34426578,"Although CHMP1A is a member of the ESCRT-III protein family involved in endosomal sorting and autophagic repair, pathways related to Necroptosis do not seem to be significantly altered. Instead, Chmp1a mutation has a significant protective effect on the development of kidney disease by inhibiting ferroptosis."
"Necroptosis","CHMP5","charged multivesicular body protein 5","ENSG00000086065.14","protein_coding",36518671,"CHMP5 is one of the necroptosis-related genes, and the expression level of CHMP5 in the myocardial tissue of ICM patients is opposite to the severity of the disease, suggesting a negative regulation of necroptosis by CHMP5."
"Necroptosis","SMPD1","sphingomyelin phosphodiesterase 1","ENSG00000166311.10","protein_coding",36958996,"SMPD1 is found to be involved in Necroptosis by delaying cell death through membrane repair. SMPD1 is an acid enzyme that catalyzes the hydrolysis of sphingomyelin to generate ceramide. During Necroptosis, the activity of SMPD1 increases, inducing membrane repair and suppressing cell death."
"Necroptosis","PYCARD","PYD and CARD domain containing","ENSG00000103490.14","protein_coding",31723262,"PYCARD (also known as ASC) plays an important role in the Necroptosis pathway and serves as one of the alternative cell death pathways when Caspase-8 inhibits Necroptosis."
"Necroptosis","NLRP3","NLR family pyrin domain containing 3","ENSG00000162711.18","protein_coding",32298652,"NLRP3, Caspase-6, and Necroptosis form a critical network of cell death pathways that are involved in the body's inflammatory and immune responses."
"Necroptosis","ZBP1","Z-DNA binding protein 1","ENSG00000124256.15","protein_coding",36917643,"_BP1 is a protein that mediates Necroptosis, interacts with kinase RIPK3, and participates in forming necrosomes."
"Necroptosis","IL33","interleukin 33","ENSG00000137033.12","protein_coding",36552551,"IL-33 enhances oxidative stress in macrophages, leading to macrophage necroptosis and the release of factors related to atherosclerosis in patients with advanced atherosclerosis."
"Necroptosis","SQSTM1","sequestosome 1","ENSG00000161011.20","protein_coding",33779513,"SQSTM1 is a protein with autophagy and cargo-selective autophagy functions, which can promote early autophagy signaling transduction process by interacting with autophagy-related membrane proteins and EPS15."
"Necroptosis","VDAC3","voltage dependent anion channel 3","ENSG00000078668.14","protein_coding",35181730,"In the hyperlipidemic animal model induced by high-fat animal feed, VDAC3 was found to be upregulated in endothelial cells and co-upregulated with CAPN2, a protein associated with initiating necroptosis."
"Necroptosis","PGAM5","PGAM family member 5, mitochondrial serine/threonine protein phosphatase","ENSG00000247077.8","protein_coding",36273635,"PGAM5 participates in Necroptosis of renal proximal tubular epithelial cells (PTECs) induced by lipid overload, regulating DRP1-mediated mitochondrial fission and mitophagy, while depletion of PGAM5 helps reduce PTEC necrosis. PGAM5 is a key downstream effector of Necroptosis."
"Necroptosis","BIRC2","baculoviral IAP repeat containing 2","ENSG00000110330.10","protein_coding",27469115,"Approximately 30% of HNSCC patients exhibit FADD/BIRC2 genomic amplification, which is correlated with HPV-negative HNSCC and worse prognosis."
"Necroptosis","BIRC3","baculoviral IAP repeat containing 3","ENSG00000023445.16","protein_coding",22576661,"BIRC3 limits the expression of Rip1 and Rip3 at the post-transcriptional level by regulating their activity."
"Necroptosis","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2","ENSG00000055332.19","protein_coding",34043960,"In the absence of active Casp8, interferons induce the transcriptional activity of EIF2AK2 through the JAK1/STAT1 pathway, promoting the formation of necrosome complex consisting of RIPK1 and RIPK3, and activating MLKL phosphorylation, which subsequently leads to Necroptosis cell death."
"Necroptosis","DNM1L","dynamin 1 like","ENSG00000087470.21","protein_coding",23073834,"DRP1 (Dynamin-related protein 1) is one of the new members of the necroptosis pathway. In this process, the complex formed by DRP1 and PGAM5 can catalyze mitochondrial transfer and trigger necroptosis. Therefore, DRP1's involvement in the mechanism related to necroptosis may be related to mitochondria."
"Necroptosis","SPATA2","spermatogenesis associated 2","ENSG00000158480.11","protein_coding",27470000,"SPATA2 interacts with the LUBAC ubiquitin ligase and the CYLD deubiquitylase in the TNF signaling pathway. SPATA2 interacts with CYLD to regulate its DUB activity and can participate in NF-jB transcriptional activation as a complex with CYLD. Loss of SPATA2 restricted TNF-induced necroptosis and increased transcriptional activation of NF-jB target genes."
"Necroptosis","FAF1","Fas associated factor 1","ENSG00000185104.21","protein_coding",31791863,"When caspase 8 and FADD are suppressed, FAF1 is artificially increased, inhibiting cell death."
"Necroptosis","SHARPIN","SHANK associated RH domain interactor","ENSG00000179526.17","protein_coding",34381167,"SHARPIN mainly plays a role in resisting cell death, including caspase-8 mediated apoptosis and RIPK3/MLKL mediated necroptosis induced by TNF, in mTECs. compared with other members of LUBAC complex such as HOIL-1 and HOIP, the role of SHARPIN is relatively mild and only has defects in mTECs."
"Necroptosis","CYBB","cytochrome b-245 beta chain","ENSG00000165168","protein_coding",31328381,"NOX2 is linked to both cardiac remodeling and the progression of chronic heart failure. As an important oxidative stress-related enzyme on the membrane of cardiac cells, NOX2 is known to be associated with these processes. In the membrane fraction of non-infarcted tissue, where necroptosis occurs, NOX2 levels were higher than in the sham group."
"Necroptosis","USP21","ubiquitin specific peptidase 21","ENSG00000143258.17","protein_coding",34698396,"USP21 naturally contains a CaaX motif, which targets it to membranes and the researchers used a USP21 mutant, in which Cys221 was mutated to Arg, making it unable to deubiquitinate."
"Necroptosis","PARP1","poly(ADP-ribose) polymerase 1","ENSG00000143799.14","protein_coding",22814620,"Under TRAIL treatment, PARP-1 activity increased at acidic extracellular pH, leading to intracellular ATP depletion and ultimately cell death."
"Necroptosis","CHMP4C","charged multivesicular body protein 4C","ENSG00000164695.5","protein_coding",36685937,"CHMP4C is one of the highly expressed DENRGs, and DENRGs are one of the genes related to Necroptosis. CHMP4C is highly expressed in CC tissues and cell lines and plays a role as a pro-oncogene in them."
"Necroptosis","OPTN","optineurin","ENSG00000123240.17","protein_coding",27493188,"The absence of Optineurin leads to progressive dysmyelination and axonal degeneration in the central nervous system through the engagement of necroptotic machinery, including RIPK1, RIPK3, and MLKL."
